Price,Open,High,Low,Close
Ticker,USO,USO,USO,USO
Date,,,,
2006-04-10,546.0,548.0,541.3599853515625,544.1599731445312
2006-04-11,546.5599975585938,547.1199951171875,538.4000244140625,545.5999755859375
2006-04-12,545.760009765625,550.47998046875,542.47998046875,542.719970703125
2006-04-13,540.0,551.9199829101562,539.2000122070312,550.5599975585938
2006-04-17,553.5999755859375,559.2000122070312,549.4400024414062,558.3200073242188
2006-04-18,560.7999877929688,568.4000244140625,556.5599975585938,566.0
2006-04-19,564.6400146484375,577.280029296875,563.9199829101562,574.7999877929688
2006-04-20,575.3599853515625,577.280029296875,564.0800170898438,568.719970703125
2006-04-21,567.1199951171875,585.8400268554688,566.4000244140625,582.47998046875
2006-04-24,571.2000122070312,579.5999755859375,566.3200073242188,568.0800170898438
2006-04-25,573.4400024414062,574.47998046875,556.9600219726562,565.1199951171875
2006-04-26,563.52001953125,566.7999877929688,555.5999755859375,556.3200073242188
2006-04-27,552.7999877929688,556.6400146484375,548.5599975585938,549.5999755859375
2006-04-28,554.0800170898438,564.0,551.9199829101562,556.9600219726562
2006-05-01,561.2000122070312,573.2000122070312,560.0,572.0
2006-05-02,574.719970703125,581.52001953125,570.719970703125,578.719970703125
2006-05-03,579.8400268554688,579.8400268554688,560.0,561.760009765625
2006-05-04,554.9600219726562,558.1599731445312,538.239990234375,546.5599975585938
2006-05-05,546.4000244140625,547.760009765625,541.4400024414062,544.0
2006-05-08,537.0399780273438,543.9199829101562,530.4000244140625,543.0399780273438
2006-05-09,543.9199829101562,553.4400024414062,542.0800170898438,547.2000122070312
2006-05-10,546.5599975585938,558.1599731445312,539.8400268554688,558.1599731445312
2006-05-11,568.0,568.4000244140625,559.3599853515625,562.4000244140625
2006-05-12,563.52001953125,563.52001953125,552.3200073242188,552.8800048828125
2006-05-15,539.760009765625,542.1599731445312,531.5999755859375,533.0399780273438
2006-05-16,536.5599975585938,543.2000122070312,530.47998046875,533.5999755859375
2006-05-17,533.3599853515625,534.0,523.1199951171875,525.5999755859375
2006-05-18,525.4400024414062,534.3200073242188,520.7999877929688,533.9199829101562
2006-05-19,528.0,531.6799926757812,521.2000122070312,524.5599975585938
2006-05-22,519.1199951171875,532.5599975585938,519.1199951171875,530.239990234375
2006-05-23,538.0,547.3599853515625,537.6799926757812,542.1599731445312
2006-05-24,537.6799926757812,543.4400024414062,528.4000244140625,528.7999877929688
2006-05-25,533.4400024414062,543.0399780273438,530.47998046875,542.4000244140625
2006-05-26,539.6799926757812,545.8400268554688,538.6400146484375,542.0
2006-05-30,549.760009765625,552.6400146484375,545.760009765625,546.5599975585938
2006-05-31,541.1199951171875,543.280029296875,532.6400146484375,541.8400268554688
2006-06-01,534.719970703125,546.0,532.0800170898438,534.5599975585938
2006-06-02,542.0800170898438,553.2000122070312,540.4000244140625,551.2000122070312
2006-06-05,557.52001953125,558.239990234375,547.52001953125,549.9199829101562
2006-06-06,544.719970703125,551.5999755859375,542.4000244140625,550.0800170898438
2006-06-07,546.1599731445312,546.6400146484375,536.0800170898438,538.239990234375
2006-06-08,532.239990234375,536.9600219726562,526.47998046875,536.9600219726562
2006-06-09,540.0,545.5999755859375,540.0,544.5599975585938
2006-06-12,547.1199951171875,547.1199951171875,534.8800048828125,536.6400146484375
2006-06-13,527.52001953125,529.8400268554688,521.0399780273438,521.4400024414062
2006-06-14,524.0800170898438,527.280029296875,520.0,526.3200073242188
2006-06-15,530.7999877929688,532.1599731445312,527.5999755859375,529.280029296875
2006-06-16,527.760009765625,531.760009765625,522.0,530.0
2006-06-19,526.5599975585938,526.8800048828125,519.9199829101562,524.3200073242188
2006-06-20,527.280029296875,529.5999755859375,519.3599853515625,522.3200073242188
2006-06-21,522.719970703125,533.8400268554688,520.239990234375,530.7999877929688
2006-06-22,533.52001953125,536.239990234375,529.52001953125,536.0
2006-06-23,531.4400024414062,537.6799926757812,530.9600219726562,535.1199951171875
2006-06-26,533.3599853515625,542.7999877929688,532.0,541.5999755859375
2006-06-27,545.0399780273438,547.3599853515625,541.0399780273438,544.6400146484375
2006-06-28,543.760009765625,549.760009765625,540.719970703125,546.47998046875
2006-06-29,546.7999877929688,556.719970703125,546.47998046875,556.0800170898438
2006-06-30,556.0800170898438,560.1599731445312,555.4400024414062,558.1599731445312
2006-07-03,561.6799926757812,562.9600219726562,559.4400024414062,559.4400024414062
2006-07-05,559.1199951171875,569.2000122070312,558.239990234375,568.0
2006-07-06,566.4000244140625,568.7999877929688,561.5999755859375,566.1599731445312
2006-07-07,571.4400024414062,572.0,558.1599731445312,558.7999877929688
2006-07-10,556.5599975585938,558.7999877929688,541.1199951171875,556.47998046875
2006-07-11,562.47998046875,564.7999877929688,559.9199829101562,560.6400146484375
2006-07-12,563.2000122070312,569.1199951171875,558.8800048828125,569.1199951171875
2006-07-13,574.0,586.3200073242188,574.0,586.0
2006-07-14,593.2000122070312,596.7999877929688,585.3599853515625,585.760009765625
2006-07-17,581.8400268554688,585.6799926757812,572.1599731445312,573.2000122070312
2006-07-18,579.5999755859375,583.0399780273438,561.0399780273438,566.0
2006-07-19,562.0,564.1599731445312,549.280029296875,558.7999877929688
2006-07-20,561.2000122070312,562.7999877929688,550.7999877929688,552.7999877929688
2006-07-21,557.8400268554688,561.5999755859375,552.1599731445312,556.1599731445312
2006-07-24,552.0,561.4400024414062,549.5999755859375,561.3599853515625
2006-07-25,563.3599853515625,563.52001953125,549.6799926757812,552.0
2006-07-26,551.280029296875,558.4000244140625,549.760009765625,553.3599853515625
2006-07-27,558.239990234375,559.3599853515625,553.4400024414062,557.4400024414062
2006-07-28,552.4000244140625,554.0,543.2000122070312,548.0
2006-07-31,550.239990234375,557.4400024414062,546.0,556.1599731445312
2006-08-01,559.2000122070312,564.0,556.7999877929688,561.2000122070312
2006-08-02,565.3599853515625,571.3599853515625,564.47998046875,568.9600219726562
2006-08-03,559.760009765625,565.8400268554688,558.4000244140625,564.47998046875
2006-08-04,564.0800170898438,564.0800170898438,554.6400146484375,558.47998046875
2006-08-07,568.719970703125,577.1199951171875,567.2000122070312,576.0
2006-08-08,572.0,578.719970703125,569.5999755859375,570.4000244140625
2006-08-09,571.2000122070312,576.7999877929688,567.52001953125,569.3599853515625
2006-08-10,563.6799926757812,564.3200073242188,553.760009765625,556.7999877929688
2006-08-11,557.8400268554688,559.2000122070312,553.3599853515625,557.8400268554688
2006-08-14,548.7999877929688,550.9600219726562,545.52001953125,548.719970703125
2006-08-15,550.719970703125,553.0399780273438,545.4400024414062,545.6799926757812
2006-08-16,543.52001953125,546.1599731445312,536.1599731445312,536.7999877929688
2006-08-17,530.719970703125,532.1599731445312,525.5999755859375,528.4000244140625
2006-08-18,530.239990234375,532.0,522.0,529.4400024414062
2006-08-21,535.280029296875,539.6799926757812,532.0,539.3599853515625
2006-08-22,538.4000244140625,540.0800170898438,534.6400146484375,536.4000244140625
2006-08-23,532.7999877929688,534.4000244140625,523.5999755859375,528.0
2006-08-24,526.9600219726562,534.0,525.8400268554688,534.0
2006-08-25,540.0,542.4000244140625,532.4000244140625,532.4000244140625
2006-08-28,524.1599731445312,524.47998046875,516.5599975585938,519.0399780273438
2006-08-29,514.0800170898438,516.9600219726562,510.3999938964844,513.52001953125
2006-08-30,514.6400146484375,518.7999877929688,505.6000061035156,518.7999877929688
2006-08-31,514.4000244140625,518.47998046875,510.6400146484375,518.4000244140625
2006-09-01,518.0,518.4000244140625,508.32000732421875,510.0
2006-09-05,506.9599914550781,508.3999938964844,502.8800048828125,506.4800109863281
2006-09-06,501.44000244140625,507.1199951171875,497.3599853515625,497.6000061035156
2006-09-07,498.6400146484375,499.2799987792969,492.239990234375,495.1199951171875
2006-09-08,496.32000732421875,496.9599914550781,486.6400146484375,487.20001220703125
2006-09-11,481.44000244140625,486.79998779296875,476.9599914550781,480.239990234375
2006-09-12,480.4800109863281,482.4800109863281,469.20001220703125,470.0799865722656
2006-09-13,471.9200134277344,475.44000244140625,467.8399963378906,472.0
2006-09-14,470.9599914550781,472.3999938964844,462.1600036621094,465.20001220703125
2006-09-15,462.0799865722656,465.6000061035156,455.44000244140625,464.32000732421875
2006-09-18,466.32000732421875,471.760009765625,460.0,466.55999755859375
2006-09-19,468.4800109863281,471.6000061035156,449.8399963378906,450.0
2006-09-20,445.44000244140625,451.2799987792969,439.2799987792969,440.3999938964844
2006-09-21,442.79998779296875,447.6000061035156,439.9200134277344,447.1199951171875
2006-09-22,448.3999938964844,450.239990234375,436.3999938964844,437.1199951171875
2006-09-25,434.32000732421875,450.3999938964844,432.4800109863281,445.3599853515625
2006-09-26,443.3599853515625,449.6000061035156,439.760009765625,443.3599853515625
2006-09-27,446.9599914550781,457.6000061035156,436.4800109863281,457.2799987792969
2006-09-28,457.6000061035156,464.0,452.79998779296875,453.20001220703125
2006-09-29,452.3999938964844,456.9599914550781,446.3999938964844,456.0
2006-10-02,453.6000061035156,455.20001220703125,442.0,442.4800109863281
2006-10-03,436.9599914550781,439.20001220703125,424.8800048828125,425.9200134277344
2006-10-04,428.3999938964844,433.6000061035156,419.67999267578125,432.32000732421875
2006-10-05,441.2799987792969,441.9200134277344,432.0,436.7200012207031
2006-10-06,434.79998779296875,436.8800048828125,427.6000061035156,434.79998779296875
2006-10-09,436.8800048828125,445.0400085449219,435.3599853515625,436.79998779296875
